Platz;Rennen;Nummer;Fahrer;Team / Motor;Reifen;Zeit;Rückstand;Runden;Punkte
12;Deutschand GP;9;R. Barrichello;Williams / Cosworth;B;1:27:58.027;+ 1 Runde;66;0
4;Europa GP;9;R. Barrichello;Williams / Cosworth;B;1:40:55.198;25.627;57;12
5;Großbritannien GP;9;R. Barrichello;Williams / Cosworth;B;1:25:09.656;31.456;52;10
10;Italien GP;9;R. Barrichello;Williams / Cosworth;B;1:17:28.785;+ 1:04.213;53;1
9;Japan GP;9;R. Barrichello;Williams / Cosworth;B;1:31:38.169;+ 1:10.846;53;2
14;Kanada GP;9;R. Barrichello;Williams / Cosworth;B;1:34:48.538;+ 1 Runde;69;0
7;Korea GP;9;R. Barrichello;Williams / Cosworth;B;2:49:30.067;+ 1:09.257;55;6
12;Malaysia GP;9;R. Barrichello;Williams / Cosworth;B;1:34:30.307;+ 1 Runde;55;0
6;Singapur GP;9;R. Barrichello;Williams / Cosworth;B;1:58:49.680;56.101;61;8
9;Spanien GP;9;R. Barrichello;Williams / Cosworth;B;1:36:04.378;+ 1 Runde;65;2
14;Türkei GP;9;R. Barrichello;Williams / Cosworth;B;1:28:59.057;+ 1 Runde;57;0
10;Ungarn GP;9;R. Barrichello;Williams / Cosworth;B;1:41:10.638;+ 1 Runde;69;1
16;Abu Dhabi GP;10;N. Hülkenberg;Williams / Cosworth;B;1:40:41.600;+ 1:04.763;55;0
14;Bahrain GP;10;N. Hülkenberg;Williams / Cosworth;B;1:40:38.777;+ 1 Runde;48;0
14;Belgien GP;10;N. Hülkenberg;Williams / Cosworth;B;1:29:25.271;+ 1 Runde;43;0
8;Brasilien GP;10;N. Hülkenberg;Williams / Cosworth;B;1:33:35.966;+ 1 Runde;70;4
15;China GP;10;N. Hülkenberg;Williams / Cosworth;B;1:48:01.537;+ 1 Runde;55;0
13;Deutschand GP;10;N. Hülkenberg;Williams / Cosworth;B;1:27:58.676;+ 1 Runde;66;0
10;Großbritannien GP;10;N. Hülkenberg;Williams / Cosworth;B;1:25:20.212;42.012;52;1
7;Italien GP;10;N. Hülkenberg;Williams / Cosworth;B;1:16:57.384;32.812;53;6
13;Kanada GP;10;N. Hülkenberg;Williams / Cosworth;B;1:34:47.422;+ 1 Runde;69;0
10;Korea GP;10;N. Hülkenberg;Williams / Cosworth;B;2:49:41.661;+ 1:20.851;55;1
10;Malaysia GP;10;N. Hülkenberg;Williams / Cosworth;B;1:35:01.811;+ 1:13.399;56;1
10;Singapur GP;10;N. Hülkenberg;Williams / Cosworth;B;1:59:46.370;+ 1:52.791;61;1
16;Spanien GP;10;N. Hülkenberg;Williams / Cosworth;B;1:35:44.518;+ 2 Runden;64;0
17;Türkei GP;10;N. Hülkenberg;Williams / Cosworth;B;1:29:54.170;+ 1 Runde;57;0
6;Ungarn GP;10;N. Hülkenberg;Williams / Cosworth;B;1:42:22.294;+ 1:16.723;70;8
5;Abu Dhabi GP;11;R. Kubica;Renault / Renault;B;1:40:15.863;39.026;55;10
2;Australien GP;11;R. Kubica;Renault / Renault;B;1:33:48.565;12.034;58;18
11;Bahrain GP;11;R. Kubica;Renault / Renault;B;1:40:29.489;+ 1:09.093;49;0
3;Belgien GP;11;R. Kubica;Renault / Renault;B;1:29:07.761;3.493;44;15
9;Brasilien GP;11;R. Kubica;Renault / Renault;B;1:33:37.144;+ 1 Runde;70;2
5;China GP;11;R. Kubica;Renault / Renault;B;1:47:04.376;22.213;56;10
7;Deutschand GP;11;R. Kubica;Renault / Renault;B;1:27:40.899;+ 1 Runde;66;6
5;Europa GP;11;R. Kubica;Renault / Renault;B;1:40:56.693;27.122;57;10
8;Italien GP;11;R. Kubica;Renault / Renault;B;1:16:58.600;34.028;53;4
7;Kanada GP;11;R. Kubica;Renault / Renault;B;1:34:50.756;57.300;70;6
