Place;DriverId;RaceId;Wheel;Time;Residue;Rounds;Points;StartNumber
6;15;17;B;2:49:14.381;53.571;55;8;15
9;15;6;B;1:50:20.660;7.305;78;2;15
15;15;5;B;1:35:09.944;Ausfall;64;0;15
13;15;7;B;1:28:56.806;+ 1 Runde;57;0;15
13;15;12;B;1:41:37.358;+ 1 Runde;69;0;15
15;16;19;B;1:40:40.015;+ 1:03.178;55;0;16
16;16;1;B;1:34:51.386;Ausfall;46;0;16
12;16;13;B;1:29:44.163;39.895;44;0;16
13;16;18;B;1:33:58.288;+ 1 Runde;70;0;16
9;16;9;B;1:41:05.870;36.299;57;2;16
12;16;10;B;1:25:25.827;47.627;52;0;16
11;16;14;B;1:17:29.628;+ 1:05.056;53;0;16
10;16;16;B;1:31:40.129;+ 1:12.806;53;1;16
8;16;8;B;1:34:38.435;+ 1 Runde;69;4;16
11;16;3;B;1:35:07.350;+ 1:18.938;56;0;16
10;16;6;B;1:50:21.554;8.199;78;1;16
14;16;15;B;1:58:11.029;+ 1 Runde;60;0;16
16;16;12;B;1:29:44.682;+ 1 Runde;57;0;16
12;16;7;B;1:41:36.709;+ 1 Runde;69;0;16
9;17;19;B;1:40:27.038;50.201;55;2;17
11;17;2;B;1:34:47.832;+ 1:11.301;58;0;17
13;17;1;B;1:40:53.052;+ 1:32.656;49;0;17
13;17;13;B;1:29:53.725;49.457;44;0;17
11;17;18;B;1:33:44.982;+ 1 Runde;70;0;17
13;17;4;B;1:47:53.579;+ 1:11.416;56;0;17
15;17;11;B;1:28:40.457;+ 1 Runde;66;0;17
13;17;9;B;1:41:17.810;48.239;57;0;17
15;17;14;B;1:16:41.580;+ 1 Runde;52;0;17
11;17;16;B;1:30:33.120;+ 1 Runde;52;0;17
12;17;8;B;1:34:46.635;+ 1 Runde;69;0;17
11;17;17;B;2:49:44.956;+ 1:24.146;55;0;17
9;17;3;B;1:34:59.014;+ 1:10.602;56;2;17
11;17;6;B;1:50:22.490;9.135;78;0;17
12;17;15;B;1:57:59.746;+ 1 Runde;60;0;17
10;17;5;B;1:36:13.288;+ 1 Runde;65;1;17
12;17;12;B;1:29:55.420;+ 1:07.800;58;0;17
21;18;19;B;1:37:42.116;Ausfall;51;0;18
17;18;1;B;1:39:11.141;+ 3 Runden;46;0;18
19;18;13;B;1:30:06.854;+ 1 Runde;43;0;18
19;18;18;B;1:34:18.462;+ 2 Runden;69;0;18
21;18;9;B;1:41:42.171;+ 4 Runden;53;0;18
16;18;16;B;1:26:13.365;+ 1 Runde;51;0;18
13;18;3;B;1:31:30.576;+ 2 Runden;51;0;18
17;18;6;B;1:34:15.642;+ 5 Runden;51;0;18
15;18;5;B;1:41:34.121;Ausfall;70;0;18
17;18;7;B;1:37:09.713;+ 3 Runden;63;0;18
15;18;12;B;1:41:08.524;+ 3 Runden;67;0;18
17;19;19;B;1:41:18.182;+ 1 Runde;54;0;19
13;19;2;B;1:34:49.139;+ 2 Runden;56;0;19
15;19;1;B;1:39:39.094;+ 2 Runden;47;0;19
16;19;13;B;1:29:44.538;+ 1 Runde;43;0;19
18;19;18;B;1:34:17.620;+ 2 Runden;69;0;19
14;19;4;B;1:47:52.460;+ 1 Runde;55;0;19
17;19;10;B;1:26:13.616;+ 1 Runde;51;0;19
18;19;14;B;1:16:51.146;+ 2 Runden;51;0;19
12;19;16;B;1:32:07.726;+ 1 Runde;52;0;19
